//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: nl
//: ISO 3166-1 code: NL
//: Language: Dutch (Nederlands)
//: Translator(s) - Name <Contact Info/URL>: Walter Verkerk <https://github.com/SupaYoshi>, assisted by OpenAI Codex
//: Last Updated: 2026-09-21
//: Additional Notes: Uses familiar Dutch Windows terminology and concise labels.
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string!

//? For the strings below which are short and have no context:
//?   "in"        in context: is shorthand for "inch"
//?   "cm"        in context: is shorthand for "centimeter"
//?   "C - R"     in context: is "Cyan Red" colors
//?   "M - G"     in context: is "Magenta Green" colors
//?   "Y - B"     in context: is "Yellow Blue" colors
//?   "yes"/"no"  in context: is for showing EXIF flags
//?   "on"/"off"  in context: is for showing a setting active or not
//?   "Filter"    in context: is used in Resize image, "sampling filter"
//?   "Box"       in context: is used in Resize image sampling filter "Box filter"
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d bestand(en) hernoemd, %d bestand(en) gekopieerd, %d map(pen) gemaakt
%s camera raw images (embedded JPEGs only)	%s RAW-camera-afbeeldingen (alleen ingesloten JPEG's)
%s images	%s afbeeldingen
%s images (processed by Window Imaging Component - WIC)	%s afbeeldingen (verwerkt door Windows Imaging Component - WIC)
'My Pictures' folder	Map 'Mijn afbeeldingen'
Sharpen low	Licht verscherpen
Sharpen medium	Gemiddeld verscherpen
Shortcut Help	Sneltoetsenoverzicht
Shortcut key:	Sneltoets:
Show filename	Bestandsnaam tonen
Show first image in folder	Eerste afbeelding in map tonen
Show grid lines	Rasterlijnen tonen
Show histogram	Histogram tonen
Show last image in folder	Laatste afbeelding in map tonen
Show navigation panel	Navigatiepaneel tonen
Show next image	Volgende foto tonen
Show picture info (EXIF)	Fotogegevens tonen (EXIF)
Show previous image	Vorige foto tonen
Show/hide file name	Bestandsnaam tonen/verbergen
Show/hide navigation panel	Navigatiepaneel tonen/verbergen
Show/hide picture information (EXIF data)	Fotogegevens tonen/verbergen (EXIF-gegevens)
Show/hide this help text	Deze helptekst tonen/verbergen
Size:	Grootte:
Slide from bottom	Schuiven vanaf onderkant
Slide from left	Schuiven vanaf links
Slide from right	Schuiven vanaf rechts
Slide from top	Schuiven vanaf bovenkant
Slideshow	Diavoorstelling
Slideshow with timeout of 'n' seconds (ESC to stop)	Diavoorstelling met wachttijd van 'n' seconden (ESC om te stoppen)
Software:	Software:
Sort images by creation date, resp. modification date, resp. file name	Afbeeldingen sorteren op aanmaakdatum, wijzigingsdatum of bestandsnaam
Source:	Bron:
Target folders that do not yet exist are created as needed.	Doelmappen die nog niet bestaan worden zo nodig gemaakt.
The directory '%s' does not contain any image files!	De map '%s' bevat geen afbeeldingsbestanden!
The file '%s' could not be copied!	Het bestand '%s' kan niet worden gekopieerd!
The file '%s' could not be read!	Het bestand '%s' kan niet worden gelezen!
The file '%s' could not be renamed!	Het bestand '%s' kan niet worden hernoemd!
The file '%s' does not contain a list of file names!	Het bestand '%s' bevat geen lijst met bestandsnamen!
The file is read-only!	Het bestand is alleen-lezen!
The following file extensions cannot be unregistered because they have been registered in the 'local machine' registry area.	De volgende bestandsextensies kunnen niet worden verwijderd omdat ze in het registergedeelte 'lokale computer' zijn geregistreerd.
The following image extensions are protected by the operating system.	De volgende afbeeldingsextensies worden door het besturingssysteem beschermd.
The imported param DB contains entries already present in active param DB.	De geïmporteerde parameterdatabase bevat vermeldingen die al in de actieve parameterdatabase staan.
The new size is too large - width or height is larger than 65535 or total number of pixels is too large!	De nieuwe grootte is te groot: de breedte of hoogte is groter dan 65535 of het totale aantal pixels is te groot!
The old parameter DB file '%s' could not be renamed during conversion to new format!	Het oude parameterdatabasebestand '%s' kan tijdens omzetting naar de nieuwe indeling niet worden hernoemd!
The operation failed because not enough memory is available!	De bewerking is mislukt omdat er onvoldoende geheugen beschikbaar is!
The parameter DB file '%s' has been created by a newer version of JPEGView!	Het parameterdatabasebestand '%s' is door een nieuwere versie van JPEGView gemaakt!
The transformation can be applied if the image is cropped to the next matching size but this will remove some border pixels.	De transformatie kan worden toegepast als de afbeelding tot de eerstvolgende passende grootte wordt bijgesneden, maar daardoor verdwijnen enkele randpixels.
These values will override the values from the INI file located in the program folder of JPEGView!	Deze waarden overschrijven de waarden uit het INI-bestand in de programmamap van JPEGView!
Threshold	Drempelwaarde
Title:	Titel:
Toggle between screens (only for multi-monitor systems)	Tussen beeldschermen wisselen (alleen bij meerdere beeldschermen)
Toggle window always on top mode	Venster altijd op voorgrond in-/uitschakelen
Toggle window title bar hidden mode	Verborgen venstertitelbalk in-/uitschakelen
Top	Boven
Transition Effect	Overgangseffect
Unregistering not possible	Registratie verwijderen is niet mogelijk
Unsharp mask...	Onscherp masker...
Update user settings with new settings from settings template file?	Gebruikersinstellingen bijwerken met nieuwe instellingen uit het instellingssjabloon?
Use the 'Default Programs' configuration dialog from the operating system instead.	Gebruik in plaats hiervan het dialoogvenster 'Standaardprogramma's' van het besturingssysteem.
Use the mouse to draw a line that shall be horizontal or vertical.	Teken met de muis een lijn die horizontaal of verticaal moet worden.
Warning	Waarschuwing
Width	Breedte
Window mode	Venstermodus
Windows 8 (and above) blocks JPEGView from changing the default program for these file extensions.	Windows 8 (en hoger) verhindert dat JPEGView het standaardprogramma voor deze bestandsextensies wijzigt.
Writing the resulting JPEG file to disk failed	Schrijven van het resulterende JPEG-bestand naar schijf is mislukt
Y - B	G - B
Year short form (2 digits)	Jaar in korte vorm (2 cijfers)
Yellow-Blue	Geel-blauw
Zoom 1:1 (100 %)	Ware grootte (100%)
Zoom in (%s)/Zoom out (%s)	Inzoomen (%s)/uitzoomen (%s)
Zoom in/out image	Op afbeelding in-/uitzoomen
Zoom mode (drag mouse to zoom)	Zoommodus (sleep met de muis om te zoomen)
and image processing (brightness/contrast/sharpen) parameters between images	en afbeeldingsbewerkingsparameters (helderheid/contrast/verscherpen) bij wisselen tussen afbeeldingen
cm	cm
in	inch
new menu entry	nieuw menu-item
no	nee
off	uit
on	aan
user-defined	zelfgekozen
yes	ja

// ::: Popup Menu Strings ::: (unsorted to preserve context) //
Stop slide show/movie	Diavoorstelling/film stoppen
Open image...	Openen...
Open image with	Afbeelding openen met
Save processed image...	Verwerkte afbeelding opslaan...
Reload image	Afbeelding opnieuw laden
Open containing folder in Explorer	Bijbehorende map openen in Verkenner
Print image...	Afbeelding afdrukken...
Batch rename/copy...	Meerdere bestanden hernoemen/kopiëren...
Set modification date	Wijzigingsdatum instellen
to current date	op huidige datum
to EXIF date	op EXIF-datum
to EXIF date (all files in folder)	op EXIF-datum (alle bestanden in map)
Set as desktop wallpaper	Als bureaubladachtergrond instellen
Use original image	Oorspronkelijke afbeelding gebruiken
Use processed image as displayed	Verwerkte afbeelding gebruiken zoals weergegeven
Copy to clipboard	Naar klembord kopiëren
Copy original size image	Afbeelding op oorspronkelijke grootte kopiëren
Copy file path	Bestandspad kopiëren
Display order	Sorteervolgorde
Modification date	Wijzigingsdatum
Creation date	Aanmaakdatum
Play folder as slideshow/movie	Map als diavoorstelling/film afspelen
Waiting time	Wachttijd
1 sec	1 sec.
2 sec	2 sec.
3 sec	3 sec.
4 sec	4 sec.
5 sec	5 sec.
7 sec	7 sec.
10 sec	10 sec.
20 sec	20 sec.
Transition Speed	Overgangssnelheid
Very fast	Zeer snel
Fast	Snel
Normal	Normaal
Slow	Langzaam
Very slow	Zeer langzaam
Movie	Film
Playback speed	Afspeelsnelheid
5 fps	5 fps
10 fps	10 fps
25 fps	25 fps
30 fps	30 fps
50 fps	50 fps
100 fps	100 fps
Transform image	Afbeelding transformeren
Rotate +90	90° rechtsom draaien
Rotate -90	90° linksom draaien
Rotate...	Draaien...
Change size...	Grootte wijzigen...
Perspective correction...	Perspectiefcorrectie...
Mirror horizontally	Horizontaal spiegelen
Mirror vertically	Verticaal spiegelen
Rotate 180	180° draaien
Auto correction	Automatische correctie
Save parameters to DB	Parameters opslaan in database
Clear parameters from DB	Parameters uit database wissen
Zoom	Zoomen
Span all screens	Over alle beeldschermen spreiden
Fit window to image	Venster aan afbeelding aanpassen
Hide window title bar	Titelbalk verbergen
Set window always on top	Venster altijd op voorgrond
Settings/Admin	Instellingen/beheer
Edit global settings...	Algemene instellingen bewerken...
Edit user settings...	Gebruikersinstellingen bewerken...
Update user settings...	Gebruikersinstellingen bijwerken...
Set current parameters as default values...	Huidige parameters als standaardwaarden instellen...
Set as default viewer...	Als standaardviewer instellen...
Backup parameter DB...	Back-up van parameterdatabase maken...
Restore parameter DB...	Parameterdatabase herstellen...
User commands	Gebruikersopdrachten
About JPEGView...	Over JPEGView...
Exit	Afsluiten
Crop Selection	Selectie bijsnijden
Crop Selection Lossless...	Selectie bijsnijden zonder kwaliteitsverlies...
Copy Selection to Clipboard	Selectie naar klembord kopiëren
Crop Mode	Bijsnijdmodus
Free	Vrij
Fixed size...	Vaste grootte...
Zoom to Selection	Op selectie inzoomen

